user_id,item_id,rating
0,0,1
0,1,2
0,2,2
0,3,1
0,4,2
0,5,2
0,6,2
0,7,2
0,8,2
0,9,2
0,10,2
0,11,2
0,12,2
0,13,2
0,14,2
0,15,1
0,16,1
0,17,2
0,18,2
0,19,2
0,20,2
0,21,2
0,22,2
0,23,2
0,24,1
0,25,2
0,26,2
0,27,2
0,28,2
0,29,1
0,30,2
0,31,1
0,32,2
0,33,1
0,34,2
0,35,2
0,36,2
0,37,1
0,38,2
0,39,2
0,40,2
0,41,2
0,42,2
0,43,1
0,44,2
0,45,1
0,46,2
0,47,2
0,48,2
0,49,2
0,50,1
0,51,2
0,52,2
0,53,2
0,54,2
0,55,1
0,56,1
0,57,2
0,58,1
0,59,2
0,60,2
0,61,2
0,62,2
0,63,2
0,64,2
0,65,2
0,66,2
0,67,2
0,68,2
0,69,2
0,70,2
0,71,2
0,72,2
0,73,2
0,74,2
0,75,1
0,76,2
0,77,2
0,78,2
0,79,2
0,80,2
0,81,2
0,82,1
0,83,2
0,84,2
0,85,2
0,86,2
0,87,2
0,88,2
0,89,2
0,90,1
0,91,1
0,92,2
0,93,2
0,94,2
0,95,2
0,96,1
0,97,2
0,98,1
0,99,2
1,0,2
1,1,1
1,2,2
1,3,2
1,4,2
1,5,2
1,6,2
1,7,2
1,8,2
1,9,1
1,10,0
1,11,2
1,12,2
1,13,2
1,14,2
1,15,1
1,16,2
1,17,2
1,18,2
1,19,2
1,20,1
1,21,2
1,22,2
1,23,1
1,24,1
1,25,2
1,26,2
1,27,2
1,28,2
1,29,1
1,30,2
1,31,1
1,32,1
1,33,2
1,34,2
1,35,2
1,36,2
1,37,2
1,38,2
1,39,2
1,40,1
1,41,2
1,42,2
1,43,1
1,44,2
1,45,1
1,46,2
1,47,2
1,48,2
1,49,2
1,50,1
1,51,1
1,52,2
1,53,2
1,54,2
1,55,2
1,56,1
1,57,2
1,58,1
1,59,2
1,60,2
1,61,2
1,62,2
1,63,2
1,64,2
1,65,2
1,66,2
1,67,2
1,68,2
1,69,2
1,70,2
1,71,2
1,72,2
1,73,2
1,74,2
1,75,1
1,76,2
1,77,2
1,78,2
1,79,2
1,80,2
1,81,1
1,82,1
1,83,2
1,84,2
1,85,2
1,86,2
1,87,2
1,88,1
1,89,2
1,90,1
1,91,1
1,92,2
1,93,2
1,94,2
1,95,2
1,96,1
1,97,2
1,98,1
1,99,2
2,0,2
2,1,2
2,2,2
2,3,1
2,4,2
2,5,2
2,6,2
2,7,2
2,8,2
2,9,2
2,10,2
2,11,2
2,12,2
2,13,2
2,14,2
